	Restaurant Name	Rating	Number of Reviews	Price Range	Food Type	Number of Photos	Mon Hours	Tue Hours	Wed Hours	Thu Hours	Fri Hours	Sat Hours	Sun Hours
0	Las Palmas Restaurant	4	155	1.0	Mexican	147	16.0	8:00 am - 12:00 am	8:00 am - 12:00 am	8:00 am - 12:00 am	8:00 am - 12:00 am	8:00 am - 12:00 am	8:00 am - 12:00 am
1	Wei Mei Xian	4	13	1.0	Chinese	11							
2	Pattie Hut & Grill	4	58	1.0	Caribbean	39	8:00 am - 11:00 pm	8:00 am - 11:00 pm	8:00 am - 11:00 pm	8:00 am - 11:00 pm	8:00 am - 11:00 pm	8:00 am - 11:00 pm	Closed
3	ROLLN	4.5	74	1.0	Japanese, Sushi Bars, Desserts	120	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm
4	S Wan Cafe 洋紫荆	4.5	119	1.0	Chinese, Hong Kong Style Cafe	140	7:30 am - 6:30 pm	7:30 am - 6:30 pm	7:30 am - 6:30 pm	7:30 am - 6:30 pm	7:30 am - 6:30 pm	7:30 am - 6:30 pm	Closed
5	Taqueria Tepango	4	210	1.0	Mexican	81	10:00 am - 11:00 pm	10:00 am - 11:00 pm	10:00 am - 11:00 pm	10:00 am - 11:00 pm	10:00 am - 11:00 pm	10:00 am - 11:00 pm	10:00 am - 11:00 pm
6	Fauzia's Heavenly Delights	4.5	34	1.0	Caribbean, Food Stands	14	10:00 am - 4:00 pm	10:00 am - 4:00 pm	10:00 am - 4:00 pm	10:00 am - 4:00 pm	10:00 am - 4:00 pm	Closed	Closed
7	New Sunny Chinese Food	3.5	11	1.0	Chinese	19							
8	Moe's Southwest Grill	3.5	125	1.0	Tex-Mex, Mexican	105	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 9:00 pm
9	Soldier's Restaurant	3.5	51	1.0	Caribbean	22	7:00 am - 1:00 am	7:00 am - 1:00 am	7:00 am - 1:00 am	7:00 am - 1:00 am	7:00 am - 1:00 am	7:00 am - 1:00 am	7:00 am - 1:00 am
